title,price,normalizedPrice,formattedAddress,lat,lng
"Аренда в центе под офис, бьюти, магазин от7 до100м",900,90 ₽ в месяц за м²,"Иркутск, улица Литвинова, 16",52.281177709840414,104.29261330422973
"Торговая площадь, 79.46 м²",135082,1 700 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговая площадь, 29.93 м²",34240,1 144 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговая площадь, 21.31 м²",31965,1 500 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговый остров, 3 м²",20000,6 667 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговая площадь, 27.51 м²",63000,2 290 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговая площадь, 13.6 м²",15300,1 125 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Торговая площадь, 14.8 м²",29408,1 987 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Свободного назначения, 23.11 м²",50842,2 200 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Офис, 21.75 м²",22500,12 414 ₽ в год за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Свободного назначения, 22.31 м²",26772,1 200 ₽ в месяц за м²,"Иркутск, улица Чехова, 19",52.284349,104.295006
"Автосервис, цветы, гараж, склад",40000,615 ₽ в месяц за м²,"Иркутск, улица Нижняя Набережная, 14",52.29376197419424,104.28919272394437
"Офис, 27.8 м²",29218,12 612 ₽ в год за м²,"Иркутск, улица Чехова, 19",52.28419108342801,104.29498454232787
"Торговая площадь, 42 м²",2500,2 500 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 34",52.283996,104.295644
"Торговая площадь, 65 м²",95000,1 462 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 34",52.28399658,104.2956467
"Торговая площадь, 108 м²",71280,660 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 27",52.28496,104.296147
"Свободного назначения, 27 м²",27000,1 000 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 27А",52.285148,104.296246
"Сдается офис, 47.7 м²",43000,10 818 ₽ в год за м²,"Иркутск, улица Дзержинского, 27А",52.285148,104.296246
"Офис, 12 м²",12000,12 000 ₽ в год за м²,"Иркутск, улица Литвинова, 20",52.28094482,104.2943878
"Свободного назначения, 361.7 м²",280000,774 ₽ в месяц за м²,"Иркутск, улица Литвинова, 20",52.280944,104.294387
Склад,500,500 ₽ в месяц за м²,"Иркутск, улица Литвинова, 20",52.28094482,104.2943878
"Торговая площадь, 35 м²",73500,2 100 ₽ в месяц за м²,"Иркутск, улица Дзержинского, 40",52.285004,104.297028
"Универсальное помещение, 196 кв.м",390000,1 990 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Ленина, 25",52.276773,104.28605
"Аренда помещения Свободного назначения, 150 м². По",1000,1 000 ₽ в месяц за м²,"Иркутск, улица Чехова, 23",52.28357315,104.2967453
"Торговая площадь, 33 м²",3500,3 500 ₽ в месяц за м²,"Иркутск, улица Октябрьской Революции, 1к5",52.293972,104.292608
Коворкинг,17500,,"Иркутск, улица Декабрьских Событий, 31",52.289447417319295,104.29715214879434
Офисное помещение на 1-линии,224000,12 000 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 31",52.289285,104.297459
"Офисное помещение, 27 кв.м",21500,9 556 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 22В",52.290006,104.297387
"Торговая площадь в центре города, 60 м²",3000,3 000 ₽ в месяц за м²,"Иркутск, Байкальская улица, 1",52.28128,104.296399
"Офис, 600 м²",1200,14 400 ₽ в год за м²,"Иркутск, улица Октябрьской Революции, 1к7А",52.293323942139736,104.29442413491817
