title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Офисное помещение, 441 кв.м",837900,"Иркутская обл., Иркутск, Советская ул., 42",р-н Октябрьский,52.274773,104.30213,441 м²,nan,4,nan,без отделки,nan,кабинетная,прямая,nan,nan,nan,бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_441_kv.m_7458164618?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговое помещение, 37.8 м²",43092,"Иркутская обл., Иркутск, Трактовая ул., 20",р-н Ленинский,52.322142,104.234334,37.8 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovoe_pomeschenie_37.8_m_889365999?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,автономное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 4500 м²",4500,"Иркутская обл., Иркутск, Ракитная ул., 12",р-н Свердловский,52.27414374398422,104.2129703915405,4500 м²,nan,1,11 м,nan,nan,nan,прямая,nan,11 мес.,nan,другой,nan,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_4500_m_2050421981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,B,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 30 м²",19500,"Иркутская обл., Иркутск, ул. Сергеева, 3/7С",р-н Свердловский,52.265453,104.230552,30 м²,nan,2,3.5 м,чистовая,nan,nan,прямая,nan,nan,"коммунальные, эксплуатационные",торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_30_m_2718575184?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,120,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 333 м²",933,"Иркутская обл., Иркутск, Советская ул., 109Б",р-н Правобережный,52.28033028766234,104.339557584546,333 м²,возможна,1,3 м,офисная,nan,nan,прямая,есть,11 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_333_m_2716767106?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,5,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Торговое 300 м2 на высоком трафике,1200,"Иркутская обл., Иркутск, Советская ул., 176к19/1",р-н Октябрьский,52.277351,104.348411,300 м²,возможна,1,4 м,чистовая,nan,nan,прямая,есть,11 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovoe_300_m2_na_vysokom_trafike_4255222615?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Место на футкорте, рядом с банкоматной зоной",50000,"Иркутская обл., Иркутск, ул. Сергеева, 3/4",р-н Свердловский,52.26544212676401,104.2227226931152,40 м²,nan,1,4 м,чистовая,"30 кВт, можно увеличить",nan,прямая,есть,1 мес.,эксплуатационные,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/mesto_na_futkorte_ryadom_s_bankomatnoy_zonoy_4284231275?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,750,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисное помещение, 29.2 кв.м",35000,"Иркутская обл., Иркутск, Сибирская ул., 26",р-н Октябрьский,52.262444,104.301717,29.2 м²,nan,1,nan,офисная,nan,открытая,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_29.2_kv.m_7438836056?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 30 м²",30000,"Иркутская обл., Иркутск, ул. Станиславского, 1/2",р-н Октябрьский,52.259665064840384,104.32684568879476,30 м²,nan,1,3 м,чистовая,15 кВт,nan,прямая,есть,11 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_30_m_7418816662?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 40 м²",45000,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 12",р-н Правобережный,52.302933,104.298761,40 м²,nan,1,nan,чистовая,nan,nan,субаренда,nan,11 мес.,коммунальные,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_40_m_7344451249?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдам офисное помещение, 79.1 м²",65000,"Иркутская обл., Иркутск, ул. Лермонтова, 81/17",р-н Свердловский,52.264891,104.262155,79.1 м²,nan,1,nan,без отделки,nan,открытая,прямая,nan,nan,nan,жилой дом,нет,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdam_ofisnoe_pomeschenie_79.1_m_7439404924?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Первая линия, 1й этаж, центр",88400,"Иркутская обл., Иркутск, ул. Фурье, 5",р-н Правобережный,52.284624,104.292213,104 м²,nan,1,3.5 м,чистовая,nan,nan,прямая,nan,nan,nan,административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pervaya_liniya_1y_etazh_tsentr_4493266233?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Сдаётся офиc: 52,4 кв.м. Собственник",35000,"Иркутская обл., Иркутск, Партизанская ул., 19В",р-н Правобережный,52.28106,104.300998,52.4 м²,nan,2,3 м,чистовая,nan,открытая,прямая,есть,11 мес.,"коммунальные, эксплуатационные",другой,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sdaetsya_ofic_524_kv.m._sobstvennik_2232348214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 69 м²",55000,"Иркутская обл., Иркутск, ул. Ленина, 32",р-н Правобережный,52.280966,104.28155,69 м²,nan,1,nan,офисная,nan,открытая,прямая,nan,nan,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_69_m_4267223625?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Универсальное помещение, 120 кв.м",100000,"Иркутская обл., Иркутск, ул. Клары Цеткин, 16",р-н Свердловский,52.277269,104.252992,120 м²,nan,1,nan,офисная,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/universalnoe_pomeschenie_120_kv.m_7342487840?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI0R2l5SlJqcVQ2TkVQZ2w0Ijt9U5927T8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
