Название здания,Полный адрес,Цена,Цена за квадратный метр,Площадь (м²),Тип здания,lat,lon
Другое,"Иркутская обл., Иркутск, мкр-н Зелёный, 28к3",70000,1000.0,70.0,другой,52.33087138689139,104.36673813426336
Другое,"Иркутская обл., Иркутск, ул. 5-й Армии, 31",89999,1666.648148148148,54.0,жилой дом,52.284836928154526,104.27237431697202
Универсальное помещение,"Иркутская обл., Иркутск, Байкальская ул., 202/13",80000,592.5925925925926,135.0,жилой дом,52.255504,104.322504
Универсальное помещение,"Иркутская обл., Иркутск, ул. Ленина, 25",390000,1989.795918367347,196.0,жилой дом,52.276773,104.28605
Офис,"Иркутская обл., Иркутск, Киевская ул., 14",16800,1292.3076923076924,13.0,другой,52.280459,104.288817
Склад,"Иркутская обл., Иркутск, пер. Льва Толстого, 3",120000,400.0,300.0,другой,52.31672,104.292374
Универсальное помещение,"Иркутская обл., Иркутск, ул. Костычева, 30",35000,813.953488372093,43.0,другой,52.227666,104.282098
Свободного назначения,"Иркутская обл., Иркутск, ул. Горького, 42",21700,700.0,31.0,торговый центр,52.285429,104.288476
Торговая площадь,"Иркутская обл., Иркутск, ул. Баррикад, 129",240000,1000.0,240.0,другой,52.29145,104.326762
Офис,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 22В",21500,796.2962962962963,27.0,бизнес-центр,52.290006,104.297387
Другое,"Иркутская обл., Иркутск, ул. Свердлова, 36",950,21.11111111111111,45.0,торговый центр,52.28636,104.288269
Склад,"Иркутская обл., Иркутск, ул. Генерала Доватора, 18",460,1.3142857142857143,350.0,другой,52.33031,104.242895
Свободного назначения,"Иркутская обл., Иркутск, б-р Рябикова, 21/1",115720,1100.0,105.2,жилой дом,52.268595,104.206226
Свободного назначения,"Иркутская обл., Иркутск, Красноказачья ул., 119",100000,753.5795026375283,132.7,бизнес-центр,52.268093,104.329484
Универсальное помещение,"Иркутская обл., Иркутский р-н, Молодёжное муниципальное образование, пос. Новая Разводная, Раздольная ул., 1А",30000,602.4096385542169,49.8,другой,52.25138,104.403038
Офис,"Иркутская обл., Иркутск, ул. Фридриха Энгельса, 17",1250,30.48780487804878,41.0,бизнес-центр,52.285473,104.303666
Склад,"Иркутская обл., Иркутск, ул. Аргунова, 2",450,1.056338028169014,426.0,другой,52.256033,104.223545
Свободного назначения,"Иркутская обл., Иркутск, Ленинградская ул., 84",196800,600.0,328.0,другой,52.34483213316089,104.21596030422972
Офис,"Иркутская обл., Иркутск, Гравийная ул., 22",85320,1800.0,47.4,бизнес-центр,52.361196,104.20875
Торговая площадь,"Иркутская обл., Иркутск, Академическая ул., 25/2",900,2.5,360.0,другой,52.234776,104.299273
Свободного назначения,"Иркутская обл., Иркутск, ул. Радищева, 66",70000,538.4615384615385,130.0,торговый центр,52.300224,104.307376
Универсальное помещение,"Иркутская обл., Иркутск, Байкальская ул., 198А",900,7.2,125.0,жилой дом,52.25815,104.325756
Торговая площадь,"Иркутская обл., Иркутск, Челябинская ул., 25",650,0.7629107981220657,852.0,административное здание,52.32321,104.296462
Универсальное помещение,"Иркутская обл., Иркутск, ул. Лермонтова, 136/2",200000,550.05500550055,363.6,другой,52.238725,104.277112
Универсальное помещение,"Иркутская обл., Иркутск, Байкальская ул., 279",43200,1500.0,28.8,бизнес-центр,52.257792,104.353406
Офис,"Иркутская обл., Иркутск, ул. Терешковой, 6А",310000,1000.0,310.0,другой,52.281352,104.258032
Офис,"Иркутская обл., Иркутск, ул. Рабочего Штаба, 38",1000,45.45454545454545,22.0,другой,52.310422,104.298968
Склад,"Иркутская обл., Иркутск, Дорожная ул., 73",570,1.14,500.0,другой,52.276211094712586,104.38375094973748
Другое,"Иркутская обл., Иркутск, ул. Юрия Левитанского, 12",1300,13.26530612244898,98.0,жилой дом,52.251369,104.333742
Торговая площадь,"Иркутская обл., Иркутск, ул. Горького, 42",24500,700.0,35.0,торговый центр,52.285423,104.288476
Другое,"Иркутская обл., Иркутск, ул. Красных Мадьяр, 29",340000,2037.147992810066,166.9,жилой дом,52.273461,104.300244
Офис,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 22В",20000,800.0,25.0,бизнес-центр,52.290006,104.297387
Офис,"Иркутская обл., Иркутск, садовое товарищество Сибиряк, 73А",700,3.5,200.0,другой,52.2845849046322,104.34016004243176
Торговая площадь,"Иркутская обл., Иркутск, ул. Чехова, 19",34240,1144.0026729034414,29.93,торговый центр,52.284349,104.295006
Торговая площадь,"Иркутская обл., Иркутск, Киренская ул., 61",50000,833.3333333333334,60.0,административное здание,52.31166458,104.3040619
Свободного назначения,"Иркутская обл., Иркутск, ул. Трилиссера, 48Б",40000,701.7543859649123,57.0,административное здание,52.27383041,104.3135529
Склад,"Иркутская обл., Иркутск, Горка, 3",650,1.5046296296296295,432.0,другой,52.364028,104.151249
Офис,"Иркутская обл., Иркутск, ул. Фурье, 8",81600,800.0,102.0,бизнес-центр,52.284255,104.292006
Другое,"Иркутская обл., Иркутск, ул. Сибирских Партизан, 1А/1",210000,1500.0,140.0,жилой дом,52.343731,104.227929
Склад,"Иркутская обл., Иркутск, Братская ул., 2/1",350,1.6203703703703705,216.0,другой,52.290447,104.356667
Свободного назначения,"Иркутская обл., Иркутск, ул. Горького, 42",19600,700.0,28.0,торговый центр,52.285429,104.288476
Склад,"Иркутская обл., Иркутск, ул. Розы Люксембург, 204",490,0.5568181818181818,880.0,другой,52.361191,104.16105
Здание,"Иркутская обл., Иркутск, ул. Баррикад, 218/2",300000,600.0,500.0,другой,52.292028,104.370061
